fecha,humedad_media_dia,humedad_min_dia,humedad_max_dia,temp_suelo_media_dia,temp_suelo_min_dia,temp_suelo_max_dia,bateria_media_dia_mv,panel_solar_media_dia_mv,variacion_humedad_dia,n_registros_dia
2024-02-14,45.65786458333333,45.44625,45.77375000000001,12.600260416666666,11.85,15.52,6659.5,4404.291666666667,0.3275000000000077,24
2024-02-15,45.460729166666674,45.30375,45.82625,12.821979166666665,12.26,14.33,6645.041666666667,4021.75,0.5225000000000009,24
2024-02-16,45.574999999999996,45.35875,45.69625,12.905625,11.48,16.31,6647.125,4382.0,0.3374999999999986,24
2024-02-17,45.24463541666666,45.03,45.36875,12.820572916666668,10.5,15.39,6646.708333333333,4487.041666666667,0.33874999999999744,24
2024-02-18,44.91557291666667,44.705,45.02375,12.638125,9.84,15.18,6652.958333333333,4464.75,0.3187500000000014,24
2024-02-19,44.5596875,44.3175,44.70375,12.646979166666666,10.1,15.62,6646.875,4426.666666666667,0.3862499999999969,24
2024-02-20,44.18255208333333,43.95875,44.307500000000005,12.825572916666665,10.55,16.45,6646.791666666667,4407.416666666667,0.34875000000000256,24
2024-02-21,43.833906250000005,43.64375,43.94375,12.910729166666668,10.55,15.87,6654.5,4497.708333333333,0.30000000000000426,24
2024-02-22,43.5190625,43.36375,43.63375,13.0471875,11.38,15.04,6660.125,4472.791666666667,0.269999999999996,24
2024-02-23,43.4634375,43.3425,43.5325,12.963541666666666,11.14,13.62,6652.291666666667,4430.083333333333,0.18999999999999773,24
2024-02-24,43.26125,43.150000000000006,43.34125,12.514270833333335,10.2,13.27,6657.625,4527.416666666667,0.1912499999999966,24
2024-02-25,43.1275,43.098749999999995,43.15375,12.188958333333334,9.95,13.17,6644.875,4066.5,0.05500000000000682,24
2024-02-26,43.82354166666667,43.150000000000006,44.39375,12.31828125,10.79,13.03,6656.791666666667,4536.166666666667,1.2437499999999915,24
2024-02-27,43.775364583333335,43.55625,43.90125,11.991041666666668,9.14,13.15,6650.291666666667,4590.166666666667,0.34499999999999886,24
2024-02-28,43.4259375,43.25,43.541250000000005,11.701822916666666,7.86,13.39,6649.291666666667,4570.125,0.2912500000000051,24
2024-02-29,43.154895833333335,42.993750000000006,43.2625,11.633072916666668,8.25,13.6,6649.375,4583.333333333333,0.26874999999999716,24
2024-03-01,42.87104166666666,42.6975,42.97625,11.645364583333333,8.66,13.51,6651.333333333333,4629.666666666667,0.2787500000000023,24
2024-03-02,42.62026041666667,42.51625,42.691250000000004,11.462083333333334,8.66,12.44,6642.0,4560.208333333333,0.17500000000000426,24
2024-03-03,42.558177083333334,42.44624999999999,42.6325,11.368125,8.78,12.35,6654.875,4721.916666666667,0.18625000000000824,24
2024-03-04,42.413125,42.353750000000005,42.4525,11.509635416666669,9.72,13.45,6658.416666666667,4743.5,0.09874999999999545,24
2024-03-05,42.23583333333333,42.040000000000006,42.353750000000005,11.723541666666668,9.13,14.22,6657.041666666667,4634.666666666667,0.31374999999999886,24
2024-03-06,41.87713541666667,41.68,42.019999999999996,11.710677083333332,8.66,13.99,6652.875,4797.625,0.3399999999999963,24
2024-03-07,42.2075,41.62125,43.31,11.669791666666667,9.49,12.33,6658.458333333333,4702.833333333333,1.6887499999999989,24
2024-03-08,43.15453125,43.053749999999994,43.2275,11.48734375,9.37,12.33,6655.75,4776.291666666667,0.1737500000000054,24
2024-03-09,46.492604166666666,43.8325,47.21875,11.489583333333334,9.84,12.32,6639.625,4036.0,3.386249999999997,24
2024-03-10,46.803958333333334,46.64625,47.05,11.298802083333333,9.49,12.23,6660.916666666667,4686.666666666667,0.40374999999999517,24
2024-03-11,46.501093749999995,46.301249999999996,46.64125,11.389270833333333,9.13,13.02,6658.75,4947.125,0.3400000000000034,24
